G1,G4,G8,G2,G6,G9,G5,G3,G7
56,29,533,51,28,702,34,48,59
50,34,490,58,23,883,21,58,47
44,25,487,52,29,954,22,50,50
58,34,465,78,20,705,18,43,49
50,38,492,49,39,715,21,45,56
40,45,506,58,20,872,23,51,55
41,39,476,53,28,734,22,57,48
49,43,486,74,34,682,21,54,50
48,38,495,67,28,689,16,42,45
52,40,486,65,30,721,23,49,47
47,38,463,51,39,759,23,51,46
39,14,548,48,24,634,15,61,48
58,37,539,45,16,692,18,55,54
46,49,466,49,24,862,14,45,45
51,31,505,62,29,742,22,50,49
55,30,493,56,18,674,20,57,48
54,53,496,41,31,679,9,31,41
49,28,485,57,24,717,28,47,50
47,36,466,47,30,837,20,39,49
34,40,526,65,28,624,25,57,57
48,65,497,51,37,723,29,48,58
43,37,508,72,23,720,30,24,47
45,37,456,64,21,753,14,44,58
51,46,477,63,31,762,29,42,53
58,43,517,48,38,681,12,42,41
42,24,550,62,16,697,17,54,56
65,27,550,50,15,573,23,58,47
58,32,577,47,34,746,24,53,59
47,43,491,48,44,749,20,37,51
65,31,564,60,28,726,30,43,48
46,53,529,50,39,721,18,55,63
55,30,489,59,27,877,28,47,61
55,44,506,51,33,573,29,50,42
50,14,548,57,29,788,27,54,48
51,51,495,38,39,708,16,60,56
53,47,490,61,43,675,19,44,54
41,40,504,42,26,734,24,55,52
46,45,486,59,18,855,23,40,51
54,40,501,59,26,736,30,59,45
61,22,541,46,36,708,27,48,51
40,33,504,65,36,812,17,30,48
53,35,495,45,30,738,18,51,43
43,55,525,41,34,724,25,37,56
47,21,513,56,30,680,28,44,45
47,21,545,47,16,700,19,54,45
65,21,539,50,25,766,27,49,39
34,45,536,54,37,631,19,51,47
45,36,494,58,23,696,29,50,53
57,26,505,58,21,821,26,43,66
54,32,507,41,35,868,17,50,55
50,57,535,45,41,724,24,56,44
47,42,440,53,22,721,16,49,52
42,36,484,50,20,714,14,56,41
52,33,472,63,29,833,15,52,48
40,50,515,61,43,873,19,43,64
55,40,507,44,29,849,19,37,48
33,38,472,57,24,606,20,44,54
53,32,498,54,26,804,25,57,42
56,39,557,50,36,711,26,53,54
39,27,518,49,26,715,32,57,36
53,29,549,37,35,614,23,42,43
43,37,481,57,28,577,31,45,43
30,40,458,55,19,611,20,48,51
43,48,514,43,28,754,27,51,63
52,29,472,55,25,740,23,43,51
35,30,513,56,39,676,20,62,56
35,34,533,49,24,702,25,53,62
42,43,469,56,26,591,23,41,51
43,31,458,58,28,581,29,65,56
52,41,481,44,26,707,21,67,50
51,27,474,62,34,717,29,55,57
47,36,483,42,21,590,31,41,46
47,33,480,57,30,692,18,41,63
57,57,462,70,28,725,20,56,55
34,45,503,52,15,744,16,41,39
55,19,552,54,21,677,22,46,47
69,35,501,59,36,735,28,51,40
52,35,486,60,26,730,32,58,45
51,35,483,71,30,719,28,51,56
36,34,542,56,25,808,24,43,57
45,31,480,62,41,590,22,58,54
52,39,524,59,35,825,35,52,49
58,27,492,75,14,742,19,38,48
39,22,511,43,35,606,25,48,55
62,49,514,48,40,748,13,42,39
45,32,514,55,28,693,20,58,35
51,35,469,52,22,602,19,45,54
44,44,478,55,28,662,31,45,50
58,49,515,53,32,851,16,38,49
47,45,469,52,25,737,23,53,48
52,34,449,51,27,833,24,48,54
63,38,480,48,25,784,23,39,54
56,38,525,42,26,884,29,53,40
42,40,482,44,40,695,29,63,47
36,39,449,55,35,717,32,43,39
61,38,455,66,42,609,32,41,37
54,36,491,47,39,717,25,51,54
51,28,490,47,22,715,22,47,51
56,21,499,39,34,583,27,56,47
64,30,520,67,33,722,23,57,50
38,43,490,69,17,572,16,47,58
40,46,506,62,35,710,27,42,56
45,42,495,42,32,737,20,57,44
64,43,487,57,35,879,19,53,51
51,22,500,50,28,704,12,56,52
48,37,461,57,30,764,28,56,61
66,29,520,39,16,605,16,42,53
48,48,491,54,35,769,25,44,40
57,23,450,47,25,698,18,38,56
66,42,552,55,29,707,30,42,52
42,39,508,43,29,695,18,72,58
63,30,468,46,30,614,31,27,42
39,49,495,55,41,739,28,55,57
43,40,446,59,35,706,24,51,51
39,26,531,50,23,725,25,48,41
41,27,503,62,29,682,26,43,49
58,37,479,66,31,741,23,51,42
43,37,487,57,25,731,24,50,60
37,33,477,48,27,730,28,58,42
71,41,452,48,30,766,18,36,49
55,45,507,54,37,570,21,53,56
56,43,524,53,33,763,14,51,58
52,49,454,73,39,744,13,42,51
61,24,526,49,39,723,26,47,45
57,44,504,44,24,689,21,41,59
48,37,466,54,33,694,21,49,39
30,30,553,42,34,744,19,47,38
54,31,545,51,34,828,35,44,45
47,35,472,58,25,709,30,42,50
57,25,513,51,37,718,34,51,54
55,23,539,53,30,594,21,41,40
48,36,414,45,40,755,21,44,46
58,30,502,68,25,598,27,46,45
57,27,478,48,22,740,28,50,48
39,49,475,41,36,722,26,55,50
59,40,445,57,32,754,21,70,43
59,31,447,61,28,706,24,45,57
53,37,431,55,28,575,21,41,49
60,36,476,35,23,599,35,52,53
66,43,547,60,25,735,22,48,68
48,41,499,66,37,685,27,55,41
45,46,499,57,31,718,16,31,43
48,22,471,58,32,713,20,46,37
52,33,483,64,47,709,20,42,45
52,22,539,57,19,537,25,46,68
40,39,495,54,24,855,26,50,45
63,47,499,58,33,595,26,45,45
58,32,498,66,19,665,15,51,56
46,31,508,54,25,665,24,41,49
47,39,455,49,27,681,25,38,53
52,36,463,42,29,600,30,62,55
50,31,508,52,37,903,25,53,62
55,32,524,53,27,853,18,57,55
56,31,471,61,18,814,34,44,62
43,22,512,64,26,686,14,44,47
52,36,473,55,32,845,27,56,55
51,18,525,50,24,605,25,37,42
55,25,478,58,26,703,20,61,48
74,32,527,53,36,799,26,50,51
66,34,471,63,23,745,21,56,47
48,30,477,50,33,611,20,43,40
49,48,530,53,42,626,21,50,50
40,32,493,68,36,793,20,47,39
50,40,515,69,36,689,15,53,52
56,30,522,60,11,701,18,60,52
43,37,450,59,30,857,21,59,44
39,46,464,46,29,757,17,46,72
52,38,487,56,35,621,21,43,55
64,33,564,56,24,774,26,51,44
66,34,453,45,32,574,28,43,52
52,30,482,57,29,727,32,51,47
58,26,561,58,22,749,22,67,42
48,27,503,47,29,716,29,48,52
46,52,487,46,32,868,17,53,44
44,33,511,58,25,727,25,40,51
45,45,509,51,35,928,28,44,56
62,49,478,61,31,752,25,46,49
47,39,516,54,18,878,25,53,45
47,33,504,56,31,884,14,56,50
67,41,490,39,27,866,30,49,47
44,30,451,66,24,692,25,51,52
53,38,515,58,37,785,19,51,43
48,39,494,59,25,842,23,49,47
47,42,493,38,29,725,27,58,48
37,26,522,86,14,564,27,55,51
52,53,492,46,15,694,35,44,51
65,32,490,53,46,744,23,45,43
58,39,454,43,32,752,28,42,38
39,35,502,65,40,657,26,49,48
33,48,446,49,18,646,20,38,39
54,38,501,56,32,737,25,43,60
54,35,512,45,27,678,25,36,43
39,40,484,54,30,712,31,50,46
47,40,463,48,23,740,30,58,51
47,47,496,64,36,708,34,51,49
57,34,540,52,22,843,19,47,44
56,37,502,49,28,710,20,58,38
32,50,449,58,30,691,21,35,37
54,39,467,54,29,630,33,44,49
52,35,483,42,35,717,24,39,55
47,52,471,51,39,550,17,60,62
50,20,528,58,18,678,17,52,42
60,38,498,51,24,815,20,48,43
49,37,480,61,26,726,23,63,67
44,43,520,49,32,861,18,63,62
75,55,511,46,31,711,29,66,43
69,57,505,52,52,732,27,39,39
64,48,483,62,41,728,27,41,49
37,35,500,42,27,586,28,42,44
53,31,499,59,38,641,34,44,42
50,35,453,59,22,729,18,60,40
56,18,555,51,27,694,17,47,41
49,32,487,60,20,681,26,50,46
54,42,497,57,37,735,22,41,50
61,43,471,58,36,723,31,43,51
39,45,524,55,32,690,19,43,45
48,36,471,51,30,720,19,48,37
42,24,480,41,15,577,23,34,46
61,36,499,49,27,884,29,51,43
50,51,514,65,31,635,22,55,50
36,25,502,48,26,675,20,46,49
65,56,512,46,37,697,22,38,48
50,41,494,55,31,722,22,41,45
47,47,499,44,16,713,21,62,54
48,38,446,45,18,705,17,49,51
49,33,493,56,18,859,38,50,50
61,20,548,40,18,729,21,46,35
44,33,512,39,28,729,19,49,44
47,50,445,40,18,708,16,46,41
45,38,511,56,35,636,22,56,47
37,38,449,57,24,732,12,56,44
55,24,552,52,26,832,15,63,55
55,57,499,68,42,836,22,44,70
63,47,475,51,33,704,30,48,49
55,46,482,48,44,719,25,59,58
39,37,473,57,32,729,26,53,51
49,43,539,61,48,717,17,46,63
51,39,473,40,31,748,19,41,39
42,45,482,56,35,820,23,57,53
60,49,447,49,37,710,20,47,43
58,39,493,45,23,746,16,42,45
55,41,449,56,43,603,32,54,43
36,32,483,58,25,728,26,44,53
64,52,510,46,44,824,26,46,44
35,30,507,53,24,733,22,44,50
55,52,581,52,32,610,24,46,55
61,56,505,47,34,601,20,53,44
64,35,476,53,28,597,20,43,47
39,38,456,68,43,806,28,44,59
55,52,532,45,38,794,28,50,63
42,40,497,60,22,715,21,42,52
52,39,463,49,33,739,23,57,45
46,35,458,62,31,720,25,47,46
48,23,461,38,32,874,22,38,45
58,48,488,57,32,614,24,43,50
55,28,527,70,23,729,15,42,53
68,42,581,58,30,677,22,44,46
55,35,504,62,23,698,21,51,66
56,51,507,47,34,724,18,55,43
68,46,492,48,28,729,31,37,48
51,41,483,44,30,710,15,43,50
48,53,554,52,41,734,17,43,46
50,30,517,54,16,722,16,44,59
48,27,477,60,29,738,15,39,45
49,31,507,53,22,716,22,43,37
72,30,516,42,29,741,19,52,49
58,31,471,63,42,620,26,59,52
47,39,482,52,25,726,19,45,57
44,27,457,59,36,702,17,52,47
56,38,448,53,35,686,28,67,48
39,27,521,55,17,702,20,47,43
55,45,500,50,38,684,30,47,35
44,28,481,42,21,890,19,50,48
47,35,508,50,25,754,25,44,62
51,41,444,58,32,749,24,47,42
40,33,473,60,32,750,27,56,38
45,41,502,50,43,820,23,50,45
70,26,462,63,21,687,27,44,43
38,40,482,62,53,751,17,41,52
59,35,543,38,38,753,21,46,63
63,33,532,62,32,714,27,49,47
48,32,466,58,14,731,21,57,54
46,57,536,65,34,725,21,48,45
60,26,477,68,27,714,22,51,56
47,46,433,59,36,643,35,53,52
49,43,534,48,36,696,19,41,59
62,42,507,51,22,712,30,59,43
49,29,443,61,26,831,30,52,42
54,41,525,46,28,751,18,59,43
36,28,458,54,29,705,21,40,59
63,65,480,54,44,677,21,45,48
44,56,525,61,32,619,24,52,53
45,41,516,55,29,659,19,58,50
59,42,501,68,29,696,8,47,51
46,24,543,51,21,729,21,48,47
48,61,472,67,43,745,18,50,50
42,48,455,42,44,553,26,53,46
50,41,497,55,31,760,25,41,41
50,31,490,55,27,773,16,40,54
40,41,491,53,36,700,21,47,47
46,49,519,71,31,741,31,53,45
55,35,513,77,25,694,16,49,61
63,46,486,42,29,713,28,47,56
58,57,507,49,48,762,25,38,56
41,27,497,56,22,699,24,50,56
52,48,516,65,44,696,23,53,38
65,26,464,63,22,680,34,37,41
54,56,498,42,40,621,28,50,47
57,39,506,51,39,567,19,56,47
39,39,475,42,33,621,25,53,50
48,52,459,50,26,583,34,52,44
46,30,492,53,42,845,24,46,35
60,49,483,46,36,716,18,53,37
70,29,548,46,23,615,23,55,49
43,52,461,57,18,855,10,59,59
57,45,538,38,39,721,24,53,46
54,31,532,49,17,662,35,56,40
48,46,501,66,31,737,19,60,54
46,23,521,49,23,614,25,53,52
36,39,534,63,19,735,25,55,44
47,47,465,48,32,713,14,50,41
55,33,488,59,29,871,24,46,35
42,50,520,51,49,729,30,52,53
52,27,478,47,46,854,31,50,37
45,38,518,48,30,807,25,42,47
57,46,461,68,34,781,22,41,45
46,56,484,46,30,719,26,53,49
46,37,473,46,30,714,21,60,54
47,36,538,46,15,744,13,51,58
62,41,507,54,31,722,20,58,58
44,40,464,44,23,738,19,48,44
54,30,464,50,27,742,25,54,55
50,52,505,47,43,725,22,46,40
38,36,496,63,31,697,22,48,34
53,36,486,53,26,763,14,48,39
41,39,456,50,22,824,35,53,45
47,58,554,69,42,851,26,64,46
46,44,489,49,44,787,17,50,55
49,43,481,43,43,606,21,62,37
63,40,496,52,48,833,19,57,53
53,35,482,67,33,721,27,52,33
45,30,587,49,17,820,20,52,56
51,26,515,52,32,835,27,35,53
68,31,485,54,28,727,29,51,48
63,32,523,57,19,791,18,56,46
52,29,486,42,34,625,27,43,47
56,55,509,53,24,844,28,50,54
38,57,497,46,34,705,25,41,52
60,55,509,51,33,696,21,56,50
46,40,518,64,42,741,19,35,35
39,26,529,43,27,683,15,49,55
46,33,521,57,24,703,35,64,32
59,39,510,60,21,710,17,48,39
47,38,482,64,28,848,20,52,50
44,26,541,48,23,898,19,55,45
43,31,494,49,23,731,20,42,42
59,23,516,46,27,721,19,52,52
48,40,447,57,28,595,20,47,56
58,33,528,57,20,736,30,52,42
41,30,528,53,20,666,26,51,43
49,33,502,46,28,851,19,50,50
49,38,494,41,25,647,22,50,44
47,32,511,56,16,738,19,41,52
58,49,466,41,36,840,21,55,55
48,44,518,41,42,725,25,54,57
59,48,416,55,35,716,21,39,51
38,38,495,42,26,604,22,40,35
62,31,504,57,17,707,24,53,46
60,41,473,61,31,864,24,38,57
49,32,498,40,19,651,16,42,44
36,27,551,61,12,877,25,60,47
63,49,528,56,44,601,25,33,66
55,44,440,52,25,897,25,36,47
55,26,501,44,31,569,21,43,53
32,34,507,54,30,699,15,52,51
44,34,460,59,26,593,16,60,53
60,49,443,56,16,704,20,37,41
47,39,473,42,21,786,12,63,58
51,22,560,56,32,846,15,53,53
66,41,490,47,24,672,18,35,54
54,33,488,57,33,716,17,46,39
46,44,516,57,37,562,19,44,57
40,28,552,45,27,814,20,65,50
46,31,510,56,24,705,17,46,44
40,31,556,59,14,592,14,48,52
48,46,475,39,40,723,15,58,48
45,41,479,40,29,856,22,59,51
53,26,456,61,38,711,17,48,55
43,45,483,49,30,877,23,46,50
45,39,520,52,39,709,28,49,50
55,51,439,42,20,836,21,44,49
53,26,480,51,31,623,20,47,49
41,40,516,57,21,857,23,44,52
48,36,496,57,24,744,21,44,45
44,48,515,54,41,749,20,45,61
48,26,543,53,24,561,22,50,47
62,40,506,50,24,721,28,56,48
40,25,441,68,29,608,25,55,57
39,45,504,31,28,822,21,45,51
31,30,473,33,24,683,27,53,37
32,32,466,50,21,701,15,56,56
59,25,539,52,30,592,23,46,50
67,41,509,59,33,743,28,44,39
42,39,486,50,26,755,19,43,55
52,42,496,52,42,670,27,43,51
62,21,553,60,16,593,28,50,57
51,46,531,45,28,886,28,44,54
40,36,444,47,31,715,20,56,44
36,59,497,52,29,744,23,42,40
50,46,494,53,22,845,27,39,50
50,24,478,50,17,739,19,47,42
51,30,520,58,21,579,26,36,56
43,26,498,47,32,611,24,55,57
54,40,500,55,29,889,20,47,44
71,39,469,51,28,859,25,50,49
55,46,472,41,30,590,25,44,60
54,51,515,44,39,618,24,36,58
42,60,510,47,42,828,22,55,48
37,25,516,46,19,686,22,60,58
50,23,502,35,27,571,20,53,39
55,50,489,71,30,730,26,39,56
40,31,503,59,34,738,29,41,43
48,33,500,59,26,711,29,56,47
38,32,499,55,23,747,28,45,50
48,34,497,59,13,694,19,53,41
38,31,476,52,30,592,19,47,46
40,16,587,61,19,829,22,60,51
27,29,460,46,19,587,28,36,52
39,39,499,61,33,876,9,51,52
41,29,506,51,29,731,27,60,35
60,36,479,59,33,792,24,43,56
66,51,512,46,28,714,25,53,67
52,26,528,42,35,704,26,49,48
51,31,502,49,25,580,14,46,41
51,23,527,70,22,871,18,49,36
38,31,495,63,28,896,29,61,40
45,47,501,62,24,790,24,48,56
42,52,463,58,38,746,36,44,44
52,47,494,45,26,556,26,69,54
55,42,486,40,49,748,35,54,45
67,35,497,50,27,737,31,65,55
59,27,539,50,27,736,22,61,45
58,38,494,52,34,699,19,53,39
50,27,520,46,29,714,26,52,57
46,41,512,55,26,865,21,48,51
40,49,473,58,31,692,22,45,53
55,43,464,79,29,808,23,57,50
41,34,478,42,19,662,19,54,59
58,21,492,47,23,644,22,47,52
51,52,546,51,49,680,22,62,49
43,44,476,59,37,715,22,50,45
41,47,495,43,52,653,24,32,47
48,41,503,51,31,864,24,47,55
63,53,527,50,43,728,30,42,58
56,33,496,54,35,804,22,44,47
59,34,475,52,22,711,29,53,54
49,31,491,45,29,868,24,45,51
55,30,535,47,38,645,26,50,32
42,36,510,52,25,711,31,59,60
47,30,480,57,35,836,28,41,42
51,37,458,64,28,845,27,58,45
50,42,480,60,44,775,19,55,40
55,25,543,57,26,719,29,53,58
54,43,455,57,38,851,18,47,49
44,39,467,40,27,724,18,40,39
47,33,515,56,28,899,16,36,48
59,51,456,50,44,800,27,41,48
44,35,477,55,38,694,17,50,47
62,36,498,48,25,696,24,59,48
39,31,536,41,17,705,20,45,55
47,50,486,65,35,729,7,52,47
58,35,487,50,37,734,22,53,57
44,33,484,43,39,591,25,45,46
36,36,455,58,28,838,24,49,44
31,29,453,54,34,660,16,56,35
58,28,458,52,27,716,31,53,61
44,36,450,70,29,726,23,39,41
40,60,446,56,45,720,23,53,45
47,23,500,58,18,711,18,40,38
60,38,479,45,26,634,16,45,44
45,39,508,51,25,862,17,50,58
38,35,529,39,19,668,15,35,43
53,24,548,52,34,685,24,31,51
52,38,479,52,42,674,20,41,59
48,24,543,60,19,743,22,48,44
57,39,467,53,31,709,17,62,62
37,26,524,59,24,712,13,39,32
42,36,515,54,37,775,18,53,43
46,37,478,56,30,728,29,46,70
59,35,544,44,8,733,23,45,46
44,37,465,49,39,766,29,57,56
46,33,490,52,36,710,17,37,40
47,19,476,43,24,719,16,42,51
43,32,504,66,33,817,23,58,50
55,55,516,49,53,689,25,48,54
61,49,479,50,27,697,24,55,42
42,34,491,50,26,856,21,45,43
42,55,517,53,40,718,26,48,48
41,30,475,62,24,678,22,62,55
56,26,540,66,20,564,24,50,43
48,42,499,42,29,738,19,33,54
47,50,525,50,49,746,16,43,43
40,36,466,59,26,842,27,52,39
49,38,444,54,32,581,15,45,57
48,30,550,63,18,643,22,50,55
71,43,474,61,41,723,36,59,41
52,47,496,55,36,868,32,54,56
44,45,497,52,21,834,22,32,49
45,38,450,54,27,751,26,51,56
44,26,431,58,18,738,18,41,57
61,33,531,58,29,674,26,57,56
52,54,510,53,29,847,31,53,49
52,43,502,56,28,718,30,39,47
57,36,504,49,30,857,32,47,41
56,14,499,49,35,840,35,44,48
40,45,506,62,17,729,20,49,43
55,32,512,58,17,851,17,60,47
37,31,487,50,51,731,25,69,45
43,36,493,46,25,734,25,40,51
50,49,478,54,27,876,21,55,43
42,50,488,54,40,716,23,46,62
36,29,473,65,33,711,25,40,52
37,39,517,37,39,703,22,53,49
56,40,495,43,30,747,31,30,40
36,30,477,42,31,710,11,45,49
66,34,486,47,28,731,9,50,49
47,24,506,50,28,637,34,36,29
34,44,533,50,32,725,25,48,52
45,39,528,52,27,882,24,45,56
67,45,491,51,25,601,36,42,49
51,44,478,60,25,732,26,48,58
61,57,514,51,37,727,27,51,55
44,31,494,65,12,741,27,53,54
58,23,496,45,28,687,24,47,40
56,38,462,52,35,714,26,53,64
45,43,466,46,29,698,25,38,43
67,36,481,53,26,818,25,47,63
58,37,491,55,23,690,22,63,44
50,35,504,46,22,755,19,46,47
59,31,499,53,31,748,32,56,45
39,29,511,70,23,851,19,41,64
60,43,511,45,49,735,25,42,56
44,27,529,66,29,718,33,34,48
48,35,515,39,23,678,31,40,55
53,39,470,42,18,736,18,44,50
60,29,553,65,30,883,20,58,44
60,29,502,60,42,736,26,51,58
43,32,561,50,28,838,28,45,44
69,38,506,58,50,719,31,42,54
40,29,522,51,15,850,26,57,48
51,31,505,52,35,644,25,32,48
43,40,481,61,17,742,26,36,41
64,31,471,49,26,709,21,39,59
58,33,514,73,27,858,23,39,47
55,51,487,52,37,808,24,49,49
37,15,531,65,13,721,25,46,44
41,56,518,51,28,721,17,41,46
61,35,533,67,17,836,29,51,40
34,52,499,54,40,823,14,53,38
37,33,433,50,37,829,22,59,54
51,72,460,42,23,857,15,40,45
48,18,548,66,23,611,28,43,44
57,31,486,49,28,782,31,56,38
44,42,421,54,37,794,24,57,47
67,33,444,55,32,703,21,56,43
61,38,467,56,25,636,24,42,57
55,45,497,50,36,845,24,49,47
48,33,534,58,21,713,28,48,54
57,41,480,55,27,627,38,30,48
62,34,480,47,34,676,27,43,39
62,46,503,58,38,691,19,59,42
60,30,502,64,39,614,26,44,47
61,50,494,52,46,749,31,53,49
39,51,465,60,31,818,28,42,53
59,36,501,50,29,863,33,51,51
60,33,478,55,30,744,25,42,55
51,28,521,56,41,909,16,54,43
55,49,489,39,32,728,25,46,49
47,16,534,60,26,845,22,60,55
70,50,555,78,31,694,16,44,46
57,22,579,55,25,727,19,35,49
42,43,542,55,23,577,20,55,58
65,32,499,48,37,693,29,46,46
45,51,499,56,18,652,15,45,52
67,28,559,48,22,706,14,44,55
54,26,502,63,27,738,11,53,46
34,24,524,60,33,740,24,45,51
42,38,498,68,34,746,20,40,58
34,33,459,55,28,762,23,57,39
63,24,574,62,24,702,20,64,61
51,58,468,56,45,717,27,65,56
58,34,494,51,52,830,27,37,52
59,32,464,56,27,828,21,50,58
48,40,481,48,30,876,27,52,51
50,43,484,50,32,599,21,50,57
52,32,523,49,26,571,20,51,39
39,42,507,62,43,726,18,63,50
57,38,521,48,23,614,22,53,45
56,45,493,47,31,712,28,43,48
60,40,523,58,36,743,23,52,45
58,43,490,64,25,903,19,55,50
41,31,556,59,10,738,27,55,58
37,33,522,59,27,846,23,38,50
49,26,561,40,25,730,22,53,55
55,37,481,47,20,668,21,43,36
50,33,533,40,28,639,16,57,45
60,44,475,46,47,628,27,56,50
47,44,476,51,34,730,26,44,43
44,39,500,52,25,754,27,57,56
66,47,500,55,32,709,27,45,59
72,33,492,50,26,736,29,52,56
46,36,438,44,35,757,30,52,61
51,39,484,43,31,597,21,51,55
56,38,567,46,21,819,32,38,38
49,34,472,58,23,617,22,50,53
48,38,496,38,27,735,19,58,56
64,41,519,48,34,699,14,49,41
46,37,442,62,27,646,26,60,45
55,40,492,66,34,705,18,50,71
50,29,505,60,16,720,13,54,65
53,37,486,60,26,757,21,53,36
46,41,483,55,30,735,21,57,66
55,42,448,57,33,676,22,52,55
52,32,523,48,26,840,19,56,54
45,32,519,52,23,729,24,59,45
43,43,502,39,37,715,23,48,55
48,32,563,44,29,896,34,33,43
64,27,497,45,28,763,24,44,46
30,34,482,69,35,610,23,59,47
54,49,497,65,21,716,16,36,49
52,43,480,57,25,741,26,50,64
42,49,541,53,38,590,26,47,51
40,47,563,60,40,742,13,60,58
48,42,472,53,24,687,26,64,53
47,28,516,52,28,731,17,59,45
48,27,512,34,25,757,21,50,47
50,34,519,62,29,874,23,43,44
56,37,491,49,29,756,23,49,38
56,34,506,43,35,760,27,30,50
50,40,533,56,35,730,24,42,61
51,35,499,62,19,716,14,48,58
40,25,488,49,25,730,29,50,46
63,39,502,73,31,729,27,45,50
45,38,459,55,32,765,13,35,53
52,36,548,65,26,685,31,40,46
44,28,483,39,49,607,20,51,54
46,43,502,68,30,724,19,47,58
45,29,500,53,30,840,10,53,51
43,41,493,53,29,643,11,52,43
43,36,507,56,26,724,20,50,46
58,30,483,47,34,693,21,51,50
45,40,539,50,32,709,15,56,59
68,36,456,54,31,585,33,53,54
50,39,523,64,23,718,18,44,54
48,33,513,63,21,703,20,40,49
41,39,462,70,26,802,32,44,57
58,29,473,58,30,613,29,39,53
64,39,480,44,41,724,18,38,41
46,25,439,43,28,719,18,43,54
53,40,469,69,49,706,26,42,55
43,49,506,61,31,819,20,50,51
56,45,490,61,16,699,22,46,42
53,29,500,63,33,739,27,59,52
62,39,485,66,35,835,23,44,44
66,34,504,47,39,741,26,43,60
42,26,534,68,22,728,25,50,46
38,52,493,54,37,586,17,50,51
55,51,516,62,32,619,28,48,40
44,33,525,55,18,730,22,55,58
39,48,489,72,34,758,32,44,45
51,53,504,48,57,576,33,40,54
39,39,490,51,40,888,18,47,45
47,32,568,54,23,824,23,62,39
58,38,479,52,34,572,21,50,44
44,35,476,52,27,593,16,48,57
54,34,495,68,35,756,29,53,52
46,40,470,64,32,720,19,47,56
57,31,531,55,23,712,28,50,49
36,37,506,55,30,702,17,65,59
56,28,529,51,24,565,24,42,56
56,45,521,46,29,873,23,42,57
46,49,499,38,24,725,29,32,45
58,23,528,52,23,703,23,49,36
60,30,518,47,29,622,19,47,49
58,58,523,66,33,742,16,56,51
45,43,524,47,35,686,21,48,57
52,36,494,48,23,897,16,38,50
45,42,440,71,25,726,16,53,51
47,44,495,53,24,588,27,33,62
33,29,507,56,30,745,17,54,44
38,41,503,64,27,686,12,50,56
59,39,498,62,35,695,21,52,49
52,32,564,60,23,681,12,47,45
52,40,490,43,43,842,30,29,58
49,54,514,52,45,856,31,41,47
41,33,511,53,21,715,24,65,52
60,24,502,58,29,841,20,43,55
49,54,462,60,30,750,13,46,40
52,43,434,56,33,599,35,53,58
41,28,532,59,29,688,31,46,71
42,27,561,45,33,699,22,47,29
42,30,482,56,22,737,14,53,48
66,40,509,46,20,735,30,43,40
48,41,545,42,48,612,30,48,27
48,24,520,60,24,565,21,59,52
51,41,489,70,50,842,24,49,49
37,45,551,51,55,577,36,52,57
37,33,471,55,37,849,14,54,42
30,33,462,56,46,738,21,58,55
64,48,471,73,38,701,23,40,47
65,39,503,51,25,678,17,44,45
44,37,498,50,35,758,31,43,49
60,36,443,51,20,602,18,52,35
53,35,468,49,32,716,31,55,50
49,36,454,61,27,819,19,64,49
35,30,450,48,20,728,40,37,43
54,34,491,56,25,847,21,55,54
38,34,468,50,17,620,14,51,53
51,41,483,61,37,621,29,51,58
53,43,473,49,30,568,24,47,43
56,37,503,59,17,681,25,57,51
57,38,507,51,31,860,23,40,43
46,28,505,49,18,712,22,49,48
39,34,493,44,29,697,28,40,44
52,37,510,42,30,730,38,48,54
49,47,484,58,27,750,27,58,47
40,34,486,54,23,707,19,45,54
50,58,530,61,32,747,27,37,52
50,32,511,56,38,828,23,47,41
55,41,484,42,27,736,17,47,36
34,41,496,46,24,703,13,55,46
62,43,509,50,30,777,19,40,51
64,36,493,39,26,721,20,51,54
50,24,554,67,20,621,15,45,49
50,37,464,46,12,836,24,57,49
45,37,501,45,45,588,30,44,47
48,43,583,53,24,722,17,57,28
34,34,548,48,24,849,20,39,46
54,24,561,49,18,708,17,51,48
60,33,502,52,22,822,24,52,49
48,27,540,55,26,741,22,42,56
62,41,492,55,23,582,20,42,51
54,53,456,48,26,858,17,54,61
52,38,443,49,28,596,22,40,52
57,37,448,48,47,803,14,46,42
52,39,526,58,35,736,19,53,30
28,39,470,46,21,893,19,43,53
44,38,483,55,18,773,28,52,45
59,27,541,54,18,892,20,55,38
66,44,464,52,33,696,32,40,45
45,40,495,47,34,726,28,51,45
52,28,470,46,16,823,23,42,51
43,50,468,59,33,717,19,42,65
53,29,514,66,26,600,23,47,55
56,25,484,45,34,699,26,32,55
46,44,472,51,23,687,22,51,49
63,28,447,48,21,677,22,43,53
36,32,477,53,16,618,26,41,50
56,30,483,68,52,722,20,39,49
50,62,495,56,30,724,17,49,55
44,30,487,54,20,719,24,54,53
40,35,505,50,30,733,24,51,45
48,28,538,60,16,684,26,49,62
56,38,489,61,25,665,29,49,35
52,37,471,48,37,583,19,48,44
69,23,560,53,30,583,18,50,55
62,30,534,56,30,673,24,48,46
42,45,464,46,40,743,30,61,64
39,26,470,51,30,713,24,51,46
45,30,541,51,18,739,18,50,57
52,44,474,50,46,710,17,38,54
47,42,492,61,42,689,27,60,63
50,35,506,58,20,719,31,51,43
42,35,472,46,20,688,15,53,56
42,53,494,52,25,604,26,65,39
63,31,477,50,36,705,21,58,37
